Region,Indicator1,Indicator2,Indicator3,Indicator4,Indicator5,Target
Region1,623877,3726918,1156520,357811,1159676,1701293
Region2,73704,319536,22525,97736,41302,44437
Region3,248,73863,12959,25999,13900,30111
Region4,1517,189370,22523,17078,21308,38780
Region5,2737,175892,42016,67936,40755,59386
Region6,596,70363,24728,9939,12800,23032
Region7,2001,281124,13024,20036,26812,27030
Region8,185,70201,24703,12366,3960,14584
Region9,38473,82608,34343,39465,23305,28789
Region10,3046,303619,22716,34775,25716,30928
Region11,7184,1241243,243277,72870,23071,258156
Region12,89,53966,9699,26544,7859,16888
Region13,1527,129847,29031,25817,25768,27073
Region14,1104,105017,53812,13320,19341,19828
Region15,978,50413,10714,33819,17360,26894
Region16,922,124106,359476,17344,27771,30556
Region17,1810,243146,33875,24901,25041,38616
Region18,381,162944,27718,17867,36823,32219
Region19,488055,2049658,449391,553874,953986,2882417
Region20,444036,2719389,397412,128509,6799205,355961
Region21,148863,710829,257038,92754,0,0
Region22,262,218544,85146,2471,0,0
Region23,5005,448428,29651,40531,0,0
Region24,7726,448223,219151,117407,0,0
Region25,972,152792,16085,25464,0,0
Region26,3938,830716,43851,58467,0,0
Region27,401,135820,15929,11068,0,0
Region28,91249,194723,146703,51991,0,0
Region29,7052,736976,119304,53969,0,0
Region30,12744,2600340,108423,445412,0,0
Region31,232,115793,72247,72054,0,0
Region32,1664,303564,56895,34342,0,0
Region33,1791,209367,24147,24446,0,0
Region34,209,162991,127308,29188,0,0
Region35,970,308286,38927,23616,0,0
Region36,6153,703297,65785,39750,0,0
Region37,1566,390117,34072,48691,0,0
Region38,1808823,6413663,7308,904816,0,0
Region39,1027684,6034735,246116,1211854,0,0
Region40,83395,121610,4498,30837,0,0
Region41,400373,194301,10156,42461,0,0
Region42,385402,247567,11017,77910,0,0
Region43,352134,14916,530,40650,0,0
Region44,33268,232651,10187,37259,0,0
Region45,1054,39,203,16,0,0
Region46,559,24,245,11,0,0
Region47,374,195,180,11,0,0
Region48,561,24,215,1,0,0
Region49,496,22,196,2,0,0
Region50,896,74,185,15,0,0
